Species,mean
Aneides aeneus,16.30516147
Aneides ferreus,16.97290202
Aneides flavipunctatus,15.08548291
Aneides hardii,11.14080021
Aneides lugubris,20.29324321
Aneides vagrans,15.94147865
Aquiloeurycea cephalica,11.20976018
Aquiloeurycea galeanae,11.98778253
Bolitoglossa adspersa,8.828518936
Bolitoglossa alberchi,13.21522404
Bolitoglossa alvaradoi,14.97756899
Bolitoglossa biseriata,8.266842591
Bolitoglossa bramei,7.771806008
Bolitoglossa carri,8.676946699
Bolitoglossa cataguana,8.824052203
Bolitoglossa celaque,10.22571936
Bolitoglossa cerroensis,14.49482999
Bolitoglossa chinanteca,5.988738312
Bolitoglossa colonnea,8.78793568
Bolitoglossa compacta,14.16813727
Bolitoglossa conanti,9.410932422
Bolitoglossa cuchumatana,8.86748139
Bolitoglossa decora,9.872864152
Bolitoglossa diaphora,8.602731841
Bolitoglossa dofleini,21.63972065
Bolitoglossa dunni,12.27102645
Bolitoglossa engelhardti,9.069893099
Bolitoglossa epimela,8.927498111
Bolitoglossa equatoriana,10.59261756
Bolitoglossa eremia,10.39611874
Bolitoglossa flavimembris,10.99014682
Bolitoglossa flaviventris,9.63673959
Bolitoglossa franklini,12.12047906
Bolitoglossa gomezi,7.383477224
Bolitoglossa gracilis,7.64831479
Bolitoglossa hartwegi,8.888892972
Bolitoglossa heiroreias,10.08385089
Bolitoglossa helmrichi,9.849762018
Bolitoglossa hermosa,10.28424483
Bolitoglossa kaqchikelorum,6.137446991
Bolitoglossa lincolni,12.58483814
Bolitoglossa longissima,13.21397726
Bolitoglossa macrinii,9.555526554
Bolitoglossa marmorea,15.19587724
Bolitoglossa medemi,6.18248406
Bolitoglossa meliana,13.2829269
Bolitoglossa mexicana,12.4256572
Bolitoglossa minutula,6.108637025
Bolitoglossa mombachoensis,11.03175415
Bolitoglossa morio,10.51608616
Bolitoglossa mucuyensis,6.32387936
Bolitoglossa mulleri,11.85000814
Bolitoglossa nigrescens,12.04935281
Bolitoglossa nympha,7.541368083
Bolitoglossa oaxacensis,10.1148445
Bolitoglossa occidentalis,7.748352988
Bolitoglossa odonnelli,11.57081888
Bolitoglossa orestes,5.527262102
Bolitoglossa palmata,7.034888363
Bolitoglossa peruviana,6.381683725
Bolitoglossa pesrubra,9.058864889
Bolitoglossa platydactyla,11.16529765
Bolitoglossa porrasorum,8.444296121
Bolitoglossa riletti,9.921318239
Bolitoglossa robinsoni,13.05685364
Bolitoglossa robusta,11.93564592
Bolitoglossa rostrata,10.17150332
Bolitoglossa rufescens,6.890554123
Bolitoglossa schizodactyla,12.70814629
Bolitoglossa sombra,10.1296317
Bolitoglossa stuarti,9.673118821
Bolitoglossa subpalmata,10.45446446
Bolitoglossa suchitanensis,9.522239483
Bolitoglossa synoria,6.988848194
Bolitoglossa tica,10.18038356
Bolitoglossa yucatana,5.766749964
Bolitoglossa zapoteca,11.3890877
Bradytriton silus,6.552151391
Chiropterotriton arboreus,7.760022991
Chiropterotriton chondrostega,4.440459456
Chiropterotriton cracens,4.905619506
Chiropterotriton dimidiatus,4.298333945
Chiropterotriton lavae,7.989968656
Chiropterotriton magnipes,15.89106975
Chiropterotriton miquihuanus,5.043069469
Chiropterotriton mosaueri,9.159276843
Chiropterotriton multidentatus,8.577007862
Chiropterotriton priscus,9.028753725
Cryptotriton alvarezdeltoroi,4.064287223
Cryptotriton monzoni,3.15334713
Cryptotriton nasalis,5.546132984
Cryptotriton sierraminensis,4.703124869
Cryptotriton veraepacis,5.569977327
Dendrotriton bromeliacius,6.05079264
Dendrotriton chujorum,5.369196311
Dendrotriton cuchumatanus,4.750784946
Dendrotriton kekchiorum,7.712215118
Dendrotriton megarhinus,7.230068414
Dendrotriton rabbi,5.757598886
Dendrotriton sanctibarbarus,5.938355269
Dendrotriton xolocalcae,7.126637988
Desmognathus abditus,10.15297986
Desmognathus aeneus,3.581821031
Desmognathus apalachicolae,11.02253821
Desmognathus auriculatus,11.43723374
Desmognathus brimleyorum,16.16780721
Desmognathus carolinensis,8.794707402
Desmognathus conanti,10.00109482
Desmognathus folkertsi,13.23667226
Desmognathus fuscus,10.78531891
Desmognathus imitator,10.87102076
Desmognathus marmoratus,14.66845806
Desmognathus monticola,14.28131078
Desmognathus ochrophaeus,9.587577629
Desmognathus ocoee,10.00364739
Desmognathus orestes,9.686011803
Desmognathus organi,6.343400991
Desmognathus quadramaculatus,14.4294008
Desmognathus santeetlah,10.55021314
Desmognathus welteri,15.37413892
Desmognathus wrighti,6.185408953
Ensatina eschscholtzii,16.36790922
Eurycea aquatica,7.257158498
Eurycea bislineata,7.623097122
Eurycea chamberlaini,5.729837741
Eurycea chisholmensis,4.775768377
Eurycea cirrigera,7.537794361
Eurycea guttolineata,12.84878682
Eurycea junaluska,9.600057926
Eurycea latitans,4.578458651
